corpus,doc_id,title,fiscal_year,category,file_ext,path,exists,size,source_status,page_count,page_status,error,original_error,rhwp_bin,rhwp_version,rhwp_patch,elapsed_ms
UOPKOBSA01_saybrkd,uopkobsa01:2023:162:2400:2431:407,과학기술정보통신부_이용자전화사기대응체계구축.hwp,2023,과학기술정보통신부>통신>방송통신>통신정책지원>공정경쟁및이용자보호(방발)>이용자전화사기대응체계구축,hwp,saybrkd-corpus-20260630/data/openfiscaldata/saybrkd/2023/2023162564001312431407.hwp,True,168448,ok,9,counted_rhwp_lossy_utf16,,returncode=0; output_head='\n오류: HWP 파싱 실패 - 유효하지 않은 파일: DocInfo 오류: DocInfo IO 오류: UTF-16 디코딩 실패: invalid utf-16: lone surrogate found\n',/tmp/rhwp_lossy/target/release/rhwp,rhwp v0.7.17,byte_reader_read_utf16_string_from_utf16_lossy,13
UOPKOBSA01_saybrkd,uopkobsa01:2023:162:2600:2602:305,과학기술정보통신부_인공지능학습용데이터구축.hwp,2023,과학기술정보통신부>통신>정보통신>인공지능데이터진흥>AI경쟁력강화(정진)>인공지능학습용데이터구축,hwp,saybrkd-corpus-20260630/data/openfiscaldata/saybrkd/2023/2023162543001332602305.hwp,True,4794880,ok,11,counted_rhwp_lossy_utf16,,returncode=0; output_head='\n오류: HWP 파싱 실패 - 유효하지 않은 파일: DocInfo 오류: DocInfo IO 오류: UTF-16 디코딩 실패: invalid utf-16: lone surrogate found\n',/tmp/rhwp_lossy/target/release/rhwp,rhwp v0.7.17,byte_reader_read_utf16_string_from_utf16_lossy,51
UOPKOBSA01_saybrkd,uopkobsa01:2023:162:9700:9721:972,과학기술정보통신부_비통화금융기관예치.hwp,2023,과학기술정보통신부>문화및관광>문화예술>여유자금운용>비통화금융기관예치>비통화금융기관예치,hwp,saybrkd-corpus-20260630/data/openfiscaldata/saybrkd/2023/2023162564000619721972.hwp,True,163840,ok,5,counted_rhwp_lossy_utf16,,returncode=0; output_head='\n오류: HWP 파싱 실패 - 유효하지 않은 파일: DocInfo 오류: DocInfo IO 오류: UTF-16 디코딩 실패: invalid utf-16: lone surrogate found\n',/tmp/rhwp_lossy/target/release/rhwp,rhwp v0.7.17,byte_reader_read_utf16_string_from_utf16_lossy,7
UOPKOBSA01_saybrkd,uopkobsa01:2023:162:2200:2232:320,과학기술정보통신부_정보통신창의인재양성.hwp,2023,과학기술정보통신부>통신>정보통신>SW산업진흥>SW융합인력양성>정보통신창의인재양성,hwp,saybrkd-corpus-20260630/data/openfiscaldata/saybrkd/2023/2023162543001332232320.hwp,True,220672,ok,24,counted_rhwp_lossy_utf16,,returncode=0; output_head='\n오류: HWP 파싱 실패 - 유효하지 않은 파일: DocInfo 오류: DocInfo IO 오류: UTF-16 디코딩 실패: invalid utf-16: lone surrogate found\n',/tmp/rhwp_lossy/target/release/rhwp,rhwp v0.7.17,byte_reader_read_utf16_string_from_utf16_lossy,122
UOPKOBSA01_saybrkd,uopkobsa01:2023:162:3200:3231:305,과학기술정보통신부_소외계층통신접근권보장.hwp,2023,과학기술정보통신부>문화및관광>문화예술>이용자보호및공정경쟁>소외계층지원>소외계층통신접근권보장,hwp,saybrkd-corpus-20260630/data/openfiscaldata/saybrkd/2023/2023162564000613231305.hwp,True,522752,ok,10,counted_rhwp_lossy_utf16,,returncode=0; output_head='\n오류: HWP 파싱 실패 - 유효하지 않은 파일: DocInfo 오류: DocInfo IO 오류: UTF-16 디코딩 실패: invalid utf-16: lone surrogate found\n',/tmp/rhwp_lossy/target/release/rhwp,rhwp v0.7.17,byte_reader_read_utf16_string_from_utf16_lossy,25
UOPKOBSA01_saybrkd,uopkobsa01:2023:162:9700:9711:971,과학기술정보통신부_통화금융기관예치.hwp,2023,과학기술정보통신부>문화및관광>문화예술>여유자금운용>통화금융기관예치>통화금융기관예치,hwp,saybrkd-corpus-20260630/data/openfiscaldata/saybrkd/2023/2023162564000619711971.hwp,True,158208,ok,5,counted_rhwp_lossy_utf16,,returncode=0; output_head='\n오류: HWP 파싱 실패 - 유효하지 않은 파일: DocInfo 오류: DocInfo IO 오류: UTF-16 디코딩 실패: invalid utf-16: lone surrogate found\n',/tmp/rhwp_lossy/target/release/rhwp,rhwp v0.7.17,byte_reader_read_utf16_string_from_utf16_lossy,9
UOPKOBSA01_saybrkd,uopkobsa01:2023:162:9000:9001:902,과학기술정보통신부_공공자금관리기금(총괄계정) 예수이자상환.hwp,2023,과학기술정보통신부>문화및관광>문화예술>기금간거래>공공자금관리기금 예탁>공공자금관리기금(총괄계정) 예수이자상환,hwp,saybrkd-corpus-20260630/data/openfiscaldata/saybrkd/2023/2023162564000619001902.hwp,True,162304,ok,6,counted_rhwp_lossy_utf16,,returncode=0; output_head='\n오류: HWP 파싱 실패 - 유효하지 않은 파일: DocInfo 오류: DocInfo IO 오류: UTF-16 디코딩 실패: invalid utf-16: lone surrogate found\n',/tmp/rhwp_lossy/target/release/rhwp,rhwp v0.7.17,byte_reader_read_utf16_string_from_utf16_lossy,15
UOPKOBSA01_saybrkd,uopkobsa01:2023:162:2600:2602:327,과학기술정보통신부_AI융합 지역특화산업 지원(정보화).hwp,2023,과학기술정보통신부>통신>정보통신>인공지능데이터진흥>AI경쟁력강화(정진)>AI융합 지역특화산업 지원(정보화),hwp,saybrkd-corpus-20260630/data/openfiscaldata/saybrkd/2023/2023162543001332602327.hwp,True,2937344,ok,17,counted_rhwp_lossy_utf16,,returncode=0; output_head='\n오류: HWP 파싱 실패 - 유효하지 않은 파일: DocInfo 오류: DocInfo IO 오류: UTF-16 디코딩 실패: invalid utf-16: lone surrogate found\n',/tmp/rhwp_lossy/target/release/rhwp,rhwp v0.7.17,byte_reader_read_utf16_string_from_utf16_lossy,45
UOPKOBSA01_saybrkd,uopkobsa01:2023:162:1400:1434:427,과학기술정보통신부_혁신형 소형모듈원자로(i-SMR) 기술개발사업(R&D).hwp,2023,과학기술정보통신부>과학기술>과학기술연구개발>원자력 진흥>원자력연구개발사업>혁신형 소형모듈원자로(i-SMR) 기술개발사업(R&D),hwp,saybrkd-corpus-20260630/data/openfiscaldata/saybrkd/2023/2023162546011551434427.hwp,True,1238528,ok,31,counted_rhwp_lossy_utf16,,returncode=0; output_head='\n오류: HWP 파싱 실패 - 유효하지 않은 파일: DocInfo 오류: DocInfo IO 오류: UTF-16 디코딩 실패: invalid utf-16: lone surrogate found\n',/tmp/rhwp_lossy/target/release/rhwp,rhwp v0.7.17,byte_reader_read_utf16_string_from_utf16_lossy,67
UOPKOBSA01_saybrkd,uopkobsa01:2023:162:1600:1631:310,과학기술정보통신부_주파수 수급 및 정비체계 구축.hwp,2023,과학기술정보통신부>문화및관광>문화예술>정보통신방송기반조성>주파수활용여건조성>주파수 수급 및 정비체계 구축,hwp,saybrkd-corpus-20260630/data/openfiscaldata/saybrkd/2023/2023162564000611631310.hwp,True,951808,ok,26,counted_rhwp_lossy_utf16,,returncode=0; output_head='\n오류: HWP 파싱 실패 - 유효하지 않은 파일: DocInfo 오류: DocInfo IO 오류: UTF-16 디코딩 실패: invalid utf-16: lone surrogate found\n',/tmp/rhwp_lossy/target/release/rhwp,rhwp v0.7.17,byte_reader_read_utf16_string_from_utf16_lossy,79
